0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
"[0, 49, 45, 53, 15, 28, 0]","[0, 33, 40, 62, 61, 47, 6, 27, 0]","[0, 17, 0]","[0, 13, 5, 20, 12, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 22, 30, 59, 18, 3, 0]","[0, 63, 21, 8, 0]","[0, 67, 31, 57, 19, 66, 26, 0]","[0, 32, 54, 14, 64, 0]","[0, 52, 58, 29, 4, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
68.632,194.384,34.784,128.65,104.667,108.483,106.666,150.117,82.25,99.233,86.318,68.35,58.384,52.833,1343.751
,,,,,,,,,,,,,,
"[0, 45, 15, 28, 53, 49, 0]","[0, 47, 33, 61, 27, 6, 62, 40, 0]","[0, 17, 0]","[0, 5, 20, 12, 13, 0]","[0, 42, 44, 50, 34, 0]","[0, 55, 0]","[0, 30, 3, 22, 18, 59, 0]","[0, 63, 8, 21, 0]","[0, 31, 66, 26, 57, 67, 19, 0]","[0, 54, 32, 64, 14, 0]","[0, 58, 52, 4, 29, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
74.284,193.584,34.784,128.65,108.8,108.483,83.95,150.666,88.483,92.884,84.616,68.35,54.883,52.183,1324.6
,,,,,,,,,,,,,,
"[0, 28, 45, 53, 49, 15, 0]","[0, 47, 33, 6, 27, 61, 62, 40, 0]","[0, 17, 0]","[0, 5, 20, 12, 13, 0]","[0, 50, 42, 44, 34, 0]","[0, 55, 0]","[0, 3, 59, 30, 22, 18, 0]","[0, 21, 8, 63, 0]","[0, 19, 31, 67, 57, 26, 66, 0]","[0, 32, 54, 14, 64, 0]","[0, 29, 4, 52, 58, 0]","[0, 39, 51, 0]","[0, 37, 9, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.649,168.317,34.784,149.216,105.283,108.483,109.466,149.85,69.701,99.984,79.983,68.35,56.466,52.183,1337.715
,,,,,,,,,,,,,,
"[0, 45, 15, 53, 28, 49, 0]","[0, 61, 33, 40, 47, 27, 62, 6, 0]","[0, 17, 0]","[0, 13, 20, 5, 12, 0]","[0, 42, 44, 34, 50, 0]","[0, 55, 0]","[0, 59, 22, 30, 3, 18, 0]","[0, 8, 63, 21, 0]","[0, 26, 67, 66, 19, 31, 57, 0]","[0, 14, 54, 64, 32, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
84.867,182.534,34.784,149.234,137.767,108.483,109.466,149.85,83.434,94.251,79.983,68.35,56.466,52.183,1391.652
,,,,,,,,,,,,,,
"[0, 53, 45, 49, 28, 15, 0]","[0, 40, 33, 6, 61, 27, 47, 62, 0]","[0, 17, 0]","[0, 12, 20, 5, 13, 0]","[0, 44, 50, 42, 34, 0]","[0, 55, 0]","[0, 59, 22, 30, 3, 18, 0]","[0, 8, 63, 21, 0]","[0, 57, 31, 66, 26, 67, 19, 0]","[0, 54, 64, 32, 14, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
